,id,date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
0,7129300520.0,14.0,3,1.0,1180,5650,1.0,0,0.0,3.0,7.0,1180.0,0.0,55.0,55.0,98178.0,47.5112,-122.257,1340.0,5650.0
1,6414100192.0,14.0,3,2.25,2570,7242,2.0,0,0.0,3.0,7.0,2170.0,400.0,51.0,91.0,98125.0,47.721,-122.319,1690.0,7639.0
2,5631500400.0,15.0,2,1.0,770,10000,1.0,0,0.0,3.0,6.0,770.0,0.0,33.0,33.0,98028.0,47.7379,-122.233,2720.0,8062.0
3,2487200875.0,14.0,4,3.0,1960,5000,1.0,0,0.0,5.0,7.0,1050.0,910.0,65.0,65.0,98136.0,47.5208,-122.393,1360.0,5000.0
4,1954400510.0,15.0,3,2.0,1680,8080,1.0,0,0.0,3.0,8.0,1680.0,0.0,87.0,87.0,98074.0,47.6168,-122.045,1800.0,7503.0
6,1321400060.0,14.0,3,2.25,1715,6819,2.0,0,0.0,3.0,7.0,1715.0,0.0,95.0,95.0,98003.0,47.3097,-122.327,2238.0,6819.0
7,2008000270.0,15.0,3,1.5,1060,9711,1.0,0,0.0,3.0,7.0,1060.0,0.0,63.0,63.0,98198.0,47.4095,-122.315,1650.0,9711.0
8,2414600126.0,15.0,3,1.0,1780,7470,1.0,0,0.0,3.0,7.0,1050.0,730.0,60.0,60.0,98146.0,47.5123,-122.337,1780.0,8113.0
9,3793500160.0,15.0,3,2.5,1890,6560,2.0,0,0.0,3.0,7.0,1890.0,0.0,103.0,103.0,98038.0,47.3684,-122.031,2390.0,7570.0
11,9212900260.0,14.0,2,1.0,1160,6000,1.0,0,0.0,4.0,7.0,860.0,300.0,42.0,42.0,98115.0,47.69,-122.292,1330.0,6000.0
12,114101516.0,14.0,3,1.0,1430,19901,1.5,0,0.0,4.0,7.0,1430.0,0.0,27.0,27.0,98028.0,47.7558,-122.229,1780.0,12697.0
13,6054650070.0,14.0,3,1.75,1370,9680,1.0,0,0.0,4.0,7.0,1370.0,0.0,77.0,77.0,98074.0,47.6127,-122.045,1370.0,10208.0
14,1175000570.0,15.0,5,2.0,1810,4850,1.5,0,0.0,3.0,7.0,1810.0,0.0,0.0,0.0,98107.0,47.67,-122.394,1360.0,4850.0
16,1875500060.0,14.0,3,2.0,1890,14040,2.0,0,0.0,3.0,7.0,1890.0,0.0,94.0,94.0,98019.0,47.7277,-121.962,1890.0,14018.0
17,6865200140.0,14.0,4,1.0,1600,4300,1.5,0,0.0,4.0,7.0,1600.0,0.0,16.0,16.0,98103.0,47.6648,-122.343,1610.0,4300.0
18,16000397.0,14.0,2,1.0,1200,9850,1.0,0,0.0,4.0,7.0,1200.0,0.0,21.0,21.0,98002.0,47.3089,-122.21,1060.0,5095.0
19,7983200060.0,15.0,3,1.0,1250,9774,1.0,0,0.0,4.0,7.0,1250.0,0.0,69.0,69.0,98003.0,47.3343,-122.306,1280.0,8850.0
20,6300500875.0,14.0,4,1.75,1620,4980,1.0,0,0.0,4.0,7.0,860.0,760.0,47.0,47.0,98133.0,47.7025,-122.341,1400.0,4980.0
22,7137970340.0,14.0,5,2.5,2270,6300,2.0,0,0.0,3.0,8.0,2270.0,0.0,95.0,95.0,98092.0,47.3266,-122.169,2240.0,7005.0
